Proposals (N),Total Transactions,Network Nodes,Honest Nodes,Uncoop. Nodes,Malicious Nodes,AI Adjustment Factor,Standard DAO Part. (%),Proposed DAO-VC Part. (%)
10,200,5,3,1,1,1.4,79.31,100.0
10,200,10,8,1,1,1.2,80.71,86.67
10,200,20,15,4,1,1.25,77.64,88.31
10,200,100,80,10,10,1.2,75.75,84.63
20,400,5,3,1,1,1.4,70.95,95.86
20,400,10,8,1,1,1.2,72.41,82.14
20,400,20,15,4,1,1.25,70.58,88.44
20,400,100,74,18,8,1.26,71.41,91.52
50,1000,5,3,1,1,1.4,58.69,92.34
50,1000,10,8,1,1,1.2,55.46,81.32
50,1000,20,14,4,2,1.3,57.28,87.27
50,1000,100,77,16,7,1.23,56.77,84.7
100,2000,5,3,1,1,1.4,41.24,88.13
100,2000,10,7,2,1,1.3,42.3,84.01
100,2000,20,16,3,1,1.2,41.25,77.62
100,2000,100,72,19,9,1.28,39.09,79.25
250,5000,5,3,1,1,1.4,20.64,77.83
250,5000,10,8,1,1,1.2,21.29,67.53
250,5000,20,14,5,1,1.3,16.82,71.97
250,5000,100,72,18,10,1.28,20.88,66.27
500,10000,5,3,1,1,1.4,17.69,63.25
500,10000,10,8,1,1,1.2,16.84,55.51
500,10000,20,15,4,1,1.25,15.62,58.84
500,10000,100,74,18,8,1.26,14.88,55.4
1000,20000,5,3,1,1,1.4,15.01,55.5
1000,20000,10,8,1,1,1.2,14.49,46.7
1000,20000,20,15,4,1,1.25,17.83,50.21
1000,20000,100,71,19,10,1.29,12.13,51.48
