Node_ID,Cum_Population,Token_Balance,Behavior_in_Txs,AI_PoP_Score(0_to_1),Standard_Power(%),AIPoX_Power(%)
Node_001,1.0,10.0,Honest,0.994,0.003532287432571446,0.37640057404629135
Node_002,2.0,19.09,Honest,0.94,0.006742557007923505,0.4292196391971561
Node_003,3.0,23.68,Malicious,0.057,0.00836557377872213,0.027518624625366542
Node_004,4.0,32.32,Malicious,0.085,0.011417730440593894,0.045439109894134126
Node_005,5.0,42.97,Honest,0.968,0.015179013430705279,0.5591745017605455
Node_006,6.0,44.19,Honest,0.974,0.015608587351535445,0.5671864166199683
Node_007,7.0,55.91,Honest,0.921,0.01974749959211662,0.574406233228679
Node_008,8.0,61.52,Malicious,0.059,0.02172928183192514,0.03766259918580385
Node_009,9.0,63.06,Honest,0.97,0.022273660640273654,0.626249358265726
Node_010,10.0,72.44,Uncooperative,0.269,0.025587613520372848,0.18058548579569625
Node_011,11.0,72.97,Honest,0.917,0.025775898724155782,0.6182451623964533
Node_012,12.0,87.88,Honest,0.998,0.031042275009625468,0.7098984002069936
Node_013,13.0,97.94,Malicious,0.056,0.03459453509379506,0.04146141428155813
Node_014,14.0,109.37,Honest,0.926,0.03863117416755373,0.7017245121729705
Node_015,15.0,118.46,Uncooperative,0.499,0.04184422812613546,0.38687601013615075
Node_016,16.0,122.76,Honest,0.997,0.04336360798433855,0.7808484061578578
Node_017,17.0,125.6,Honest,0.956,0.04436711491447553,0.7539332293064449
Node_018,18.0,146.34,Honest,0.988,0.05169254136814524,0.8148387644766769
Node_019,19.0,148.08,Uncooperative,0.257,0.05230539994405351,0.21230511577980085
Node_020,20.0,166.7,Honest,0.928,0.058882900306247904,0.7945053025741302
Node_021,21.0,166.73,Honest,0.97,0.058893607311043226,0.8306389668352239
Node_022,22.0,185.26,Honest,0.985,0.06544025167734614,0.8693382965531125
Node_023,23.0,200.14,Honest,0.986,0.07069402541677419,0.8898990663382681
Node_024,24.0,202.25,Uncooperative,0.321,0.07143940977929769,0.29102370046956616
Node_025,25.0,204.19,Honest,0.989,0.07212606462080311,0.8979453157301236
Node_026,26.0,219.33,Uncooperative,0.455,0.07747484050713771,0.4221225525939898
Node_027,27.0,223.11,Honest,0.994,0.07881002965924239,0.9257826583299325
Node_028,28.0,224.44,Honest,0.979,0.07928019487445745,0.9133526543637601
Node_029,29.0,242.33,Honest,0.967,0.08559796590497014,0.9227843322829764
Node_030,30.0,312.89,Malicious,0.062,0.11052337776848173,0.06399236007267363
Node_031,31.0,333.47,Honest,0.937,0.11779008395535438,0.9812319833770438
Node_032,32.0,349.62,Uncooperative,0.482,0.12349473313534907,0.5116417011699954
Node_033,33.0,367.43,Malicious,0.098,0.1297853530848457,0.105128964073675
Node_034,34.0,369.03,Honest,0.928,0.13035323675927982,1.0009711104446855
Node_035,35.0,390.66,Malicious,0.037,0.1379911929057944,0.04108592737262019
Node_036,36.0,391.33,Honest,0.949,0.13822977405648504,1.0402666618557748
Node_037,37.0,403.02,Uncooperative,0.335,0.14235761222722323,0.3700127362912582
Node_038,38.0,404.37,Honest,0.999,0.1428346097849388,1.1065364024120683
Node_039,39.0,429.83,Honest,0.918,0.15182973474273287,1.034065691756964
Node_040,40.0,430.12,Honest,0.902,0.15192978003058807,1.0164712149704083
Node_041,41.0,440.93,Malicious,0.054,0.15574969989786408,0.06181729859075102
Node_042,42.0,493.49,Uncooperative,0.254,0.1743147423313065,0.2975233698567898
Node_043,43.0,497.11,Honest,0.937,0.1755947092981239,1.1010042218651797
Node_044,44.0,514.06,Honest,0.974,0.18158220466601646,1.15659392978296
Node_045,45.0,532.05,Honest,0.972,0.18793570280080857,1.1654019341426747
Node_046,46.0,564.23,Honest,0.931,0.19930086376540643,1.1350674090946744
Node_047,47.0,660.48,Uncooperative,0.363,0.2332988167434959,0.46304296082051016
Node_048,48.0,672.17,Honest,0.951,0.23743119494880383,1.2199361254808385
Node_049,49.0,694.45,Honest,0.964,0.24529796923913205,1.2480380005146297
Node_050,50.0,739.46,Honest,0.925,0.2611999204610121,1.2200858128652328
Node_051,51.0,787.77,Honest,0.959,0.2782631201316281,1.2882782584589942
Node_052,52.0,856.93,Honest,0.998,0.30269092738723735,1.3736527736421322
Node_053,53.0,861.54,Malicious,0.054,0.3043223148810444,0.07418373516124688
Node_054,54.0,927.82,Honest,0.991,0.32773290373849945,1.395430619997628
Node_055,55.0,949.11,Honest,0.943,0.33525340316128166,1.33775638740428
Node_056,56.0,959.0,Uncooperative,0.305,0.3387471737146909,0.4338124979872546
Node_057,57.0,966.58,Malicious,0.068,0.3414252519847495,0.09701703779000055
Node_058,58.0,1036.59,Honest,0.967,0.3661550562242305,1.4065196054553408
Node_059,59.0,1052.98,Malicious,0.088,0.37194422751229356,0.12826689667017802
Node_060,60.0,1114.86,Honest,0.923,0.39380060810769135,1.3713406498304839
Node_061,61.0,1261.24,Uncooperative,0.35,0.4455062581846474,0.5385673972722788
Node_062,62.0,1289.27,Uncooperative,0.372,0.4554058427171525,0.575860846950382
Node_063,63.0,1293.2,Honest,0.977,0.45679504959682193,1.5151452390689104
Node_064,64.0,1306.03,Honest,0.904,0.46132880116186253,1.4067255380532357
Node_065,65.0,1340.36,Honest,0.999,0.4734520103619677,1.566383420204763
Node_066,66.0,1363.96,Uncooperative,0.341,0.48178902423621545,0.5371139853523441
Node_067,67.0,1429.16,Honest,0.928,0.5048212653584809,1.4816379613976967
Node_068,68.0,1515.89,Malicious,0.09,0.5354559838156202,0.14538777208595385
Node_069,69.0,1684.53,Honest,0.975,0.5950240406407314,1.6323856952915134
Node_070,70.0,1851.81,Uncooperative,0.486,0.6541138877905887,0.8363930615656977
Node_071,71.0,2051.22,Honest,0.933,0.7245501034631854,1.6544025500424153
Node_072,72.0,2062.77,Honest,0.955,0.7286280348234313,1.6965262257801692
Node_073,73.0,2112.95,Uncooperative,0.372,0.7463531053578301,0.6647171401839789
Node_074,74.0,2277.12,Uncooperative,0.494,0.8043457323702513,0.9030204260692523
Node_075,75.0,2283.72,Honest,0.908,0.8066767742810477,1.660010575340775
Node_076,76.0,2310.31,Honest,0.931,0.8160675458692642,1.7078678371907154
Node_077,77.0,2670.61,Uncooperative,0.257,0.9433351605232978,0.4924392485093013
Node_078,78.0,2818.66,Uncooperative,0.281,0.9956322609312327,0.5454463945840291
Node_079,79.0,2823.26,Honest,0.949,0.9972574632401455,1.8450538494378066
Node_080,80.0,2838.13,Honest,0.937,1.0025090691154208,1.8259315734526032
Node_081,81.0,2882.92,Honest,0.939,1.0183291916083261,1.8385476014516886
Node_082,82.0,3047.6,Honest,0.984,1.0764992510083302,1.9578065224723975
Node_083,83.0,3363.03,Honest,0.993,1.187919068690089,2.0320900666718313
Node_084,84.0,3491.2,Uncooperative,0.221,1.2331916887726633,0.45744741903047964
Node_085,85.0,3647.22,Honest,0.921,1.2883039323434338,1.9293842841450093
Node_086,86.0,3973.6,Honest,0.967,1.4035890137045663,2.077218573278583
Node_087,87.0,4073.48,Uncooperative,0.308,1.4388700148443738,0.6654400596095731
Node_088,88.0,5096.74,Honest,0.925,1.8003149657587678,2.136451402175786
Node_089,89.0,5223.87,Honest,0.93,1.8452205848253984,2.161333356379404
Node_090,90.0,6270.79,Honest,0.932,2.215024358633427,2.2855951423503202
Node_091,91.0,6747.82,Honest,0.985,2.383522318146424,2.466470536317706
Node_092,92.0,7865.81,Honest,0.914,2.7784311799745263,2.3921714518760493
Node_093,93.0,9151.98,Honest,0.971,3.2327415555066525,2.656139536481622
Node_094,94.0,11808.2,Honest,0.955,4.1709967541417825,2.8138823224623146
Node_095,95.0,13929.7,Malicious,0.037,4.920370540828319,0.11336617046084752
Node_096,96.0,14432.47,Honest,0.942,5.097964857959301,2.9409704630996
Node_097,97.0,20417.52,Malicious,0.033,7.212055864839506,0.11413706469932858
Node_098,98.0,22933.5,Honest,0.961,8.1007718943483,3.4321734488186073
Node_099,99.0,23168.55,Uncooperative,0.224,8.183798217506661,0.8039628502659801
Node_100,100.0,50000.0,Malicious,0.01,17.66143716285723,0.046854307304748884
