Proposal_ID,Total_Eval_Txs,Network_Nodes,Honest_Nodes,Malicious_Nodes,True_Inherent_Risk,Malicious_Nodes_Vote,Standard_DAO_Score,Final_AI_Risk_Score,AI_Correction_Delta
PRJ-0001,20,100,65,15,72.45,49.33,70.66,72.67,2.01
PRJ-0002,20,100,65,15,87.85,53.68,86.3,89.52,3.22
PRJ-0003,20,100,65,15,57.96,84.04,61.54,59.16,2.38
PRJ-0004,20,100,65,15,58.01,83.84,59.64,53.23,6.42
PRJ-0005,20,100,65,15,49.81,78.93,52.06,49.75,2.31
PRJ-0006,20,100,65,15,43.82,74.1,48.92,43.74,5.18
PRJ-0007,20,100,65,15,56.83,78.14,56.79,55.7,1.09
PRJ-0008,20,100,65,15,70.64,48.68,69.01,70.15,1.13
PRJ-0009,20,100,65,15,55.97,76.66,62.65,61.22,1.43
PRJ-0010,20,100,65,15,49.13,82.38,54.84,49.83,5.01
PRJ-0011,20,100,65,15,68.13,107.52,66.24,61.66,4.58
PRJ-0012,20,100,65,15,67.95,106.39,76.79,70.72,6.07
PRJ-0013,20,100,65,15,63.27,99.84,63.73,60.83,2.9
PRJ-0014,20,100,65,15,54.2,85.06,53.56,49.88,3.68
PRJ-0015,20,100,65,15,69.86,89.97,70.1,68.17,1.93
PRJ-0016,20,100,65,15,74.18,39.6,72.79,76.43,3.65
PRJ-0017,20,100,65,15,52.41,79.03,56.8,52.67,4.12
PRJ-0018,20,100,65,15,79.63,53.13,74.08,77.97,3.89
PRJ-0019,20,100,65,15,77.19,54.8,76.26,80.17,3.91
PRJ-0020,20,100,65,15,80.05,48.83,79.65,83.25,3.6
PRJ-0021,20,100,65,15,64.46,84.97,62.73,64.75,2.02
PRJ-0022,20,100,65,15,77.33,47.16,73.16,74.69,1.52
PRJ-0023,20,100,65,15,61.7,86.28,70.52,65.51,5.01
PRJ-0024,20,100,65,15,57.23,80.45,59.02,56.45,2.56
PRJ-0025,20,100,65,15,78.73,40.88,72.11,77.98,5.87
PRJ-0026,20,100,65,15,72.7,34.78,70.21,75.81,5.6
PRJ-0027,20,100,65,15,54.47,90.83,58.11,53.71,4.4
PRJ-0028,20,100,65,15,43.05,67.49,42.57,37.15,5.43
PRJ-0029,20,100,65,15,59.86,90.24,62.37,58.11,4.26
PRJ-0030,20,100,65,15,71.06,31.63,67.52,70.06,2.54
PRJ-0031,20,100,65,15,36.22,57.25,39.5,36.67,2.83
PRJ-0032,20,100,65,15,95.0,70.21,91.44,95.33,3.9
PRJ-0033,20,100,65,15,64.48,89.23,69.34,63.76,5.58
PRJ-0034,20,100,65,15,76.28,43.63,73.97,75.75,1.78
PRJ-0035,20,100,65,15,73.8,52.99,71.98,77.52,5.54
PRJ-0036,20,100,65,15,56.51,76.84,65.5,62.79,2.71
PRJ-0037,20,100,65,15,41.74,75.56,43.76,40.89,2.87
PRJ-0038,20,100,65,15,72.1,49.35,69.42,73.01,3.59
PRJ-0039,20,100,65,15,53.25,89.6,60.52,54.45,6.07
PRJ-0040,20,100,65,15,46.54,71.37,60.54,54.7,5.84
PRJ-0041,20,100,65,15,68.9,103.42,71.89,69.65,2.24
PRJ-0042,20,100,65,15,45.19,66.88,53.3,49.21,4.09
PRJ-0043,20,100,65,15,69.4,102.44,78.56,71.2,7.36
PRJ-0044,20,100,65,15,72.11,47.36,66.96,71.99,5.03
PRJ-0045,20,100,65,15,82.38,49.23,78.7,81.12,2.42
PRJ-0046,20,100,65,15,71.19,43.84,65.83,68.6,2.77
PRJ-0047,20,100,65,15,51.66,89.5,55.51,50.16,5.35
PRJ-0048,20,100,65,15,70.12,40.06,69.58,73.54,3.96
PRJ-0049,20,100,65,15,61.03,86.65,72.05,69.67,2.38
PRJ-0050,20,100,65,15,52.14,75.68,55.34,52.51,2.84
PRJ-0051,20,100,65,15,61.65,100.92,70.35,65.07,5.28
PRJ-0052,20,100,65,15,63.91,91.61,69.51,64.53,4.98
PRJ-0053,20,100,65,15,58.3,97.03,66.42,61.67,4.75
PRJ-0054,20,100,65,15,46.31,68.26,56.12,51.24,4.88
PRJ-0055,20,100,65,15,65.87,99.81,69.81,64.14,5.67
PRJ-0056,20,100,65,15,73.41,47.54,71.81,72.61,0.8
PRJ-0057,20,100,65,15,72.73,36.76,69.88,74.18,4.3
PRJ-0058,20,100,65,15,95.0,59.08,95.17,99.35,4.18
PRJ-0059,20,100,65,15,60.27,91.84,64.17,61.65,2.52
PRJ-0060,20,100,65,15,61.45,92.3,64.39,61.1,3.29
PRJ-0061,20,100,65,15,75.29,52.75,67.35,69.86,2.51
PRJ-0062,20,100,65,15,81.33,57.02,81.12,85.14,4.02
PRJ-0063,20,100,65,15,54.04,84.86,59.23,55.3,3.92
PRJ-0064,20,100,65,15,55.23,94.74,66.3,60.93,5.37
PRJ-0065,20,100,65,15,34.62,63.4,37.32,34.62,2.69
PRJ-0066,20,100,65,15,77.79,54.32,77.75,77.97,0.22
PRJ-0067,20,100,65,15,57.88,91.08,66.88,59.68,7.2
PRJ-0068,20,100,65,15,71.07,38.84,71.93,74.07,2.14
PRJ-0069,20,100,65,15,42.21,62.5,48.11,43.39,4.72
PRJ-0070,20,100,65,15,54.38,76.34,62.83,57.22,5.61
PRJ-0071,20,100,65,15,16.38,44.35,17.82,13.86,3.97
PRJ-0072,20,100,65,15,46.28,67.19,56.4,52.87,3.52
PRJ-0073,20,100,65,15,86.62,53.45,82.33,84.07,1.73
PRJ-0074,20,100,65,15,65.15,96.87,69.7,65.36,4.34
PRJ-0075,20,100,65,15,66.7,95.87,77.13,71.58,5.55
PRJ-0076,20,100,65,15,46.43,74.15,52.14,48.9,3.24
PRJ-0077,20,100,65,15,69.21,106.11,72.91,67.99,4.92
PRJ-0078,20,100,65,15,57.6,91.54,60.42,56.09,4.33
PRJ-0079,20,100,65,15,78.49,52.85,77.69,80.09,2.41
PRJ-0080,20,100,65,15,74.44,38.31,67.97,74.02,6.05
PRJ-0081,20,100,65,15,64.69,91.5,72.77,67.59,5.18
PRJ-0082,20,100,65,15,56.13,91.22,63.1,60.19,2.91
PRJ-0083,20,100,65,15,84.58,56.8,82.5,85.18,2.67
PRJ-0084,20,100,65,15,60.35,99.35,63.83,59.43,4.39
PRJ-0085,20,100,65,15,66.45,92.32,69.04,67.22,1.82
PRJ-0086,20,100,65,15,95.0,59.95,88.5,95.52,7.02
PRJ-0087,20,100,65,15,74.36,53.21,72.38,75.56,3.18
PRJ-0088,20,100,65,15,51.54,89.3,58.44,49.68,8.76
PRJ-0089,20,100,65,15,52.62,84.98,58.08,53.09,4.99
PRJ-0090,20,100,65,15,56.54,92.98,61.78,56.47,5.3
PRJ-0091,20,100,65,15,57.93,94.19,59.48,56.94,2.54
