Proposal_ID,Total_Eval_Txs,Active_Nodes,True_ROI(%),Malicious_ROI_Vote(%),Standard_DAO_ROI(%),AI_Verified_ROI(%),AI_Risk_Score,Required_ROI_Threshold,Final_Decision
PRJ-0001,20,100,172.12,237.72,193.2,180.59,72.45,216.23,Rejected
PRJ-0002,20,100,235.17,195.99,224.25,230.5,69.19,196.81,Accepted
PRJ-0003,20,100,58.74,169.92,66.43,50.44,68.63,193.61,Rejected
PRJ-0004,20,100,110.9,239.42,115.05,102.14,58.58,141.07,Rejected
PRJ-0005,20,100,83.34,194.09,98.85,82.43,66.01,178.97,Rejected
PRJ-0006,20,100,207.64,155.63,196.97,206.32,56.0,129.17,Accepted
PRJ-0007,20,100,103.17,184.34,110.7,103.65,64.8,172.41,Rejected
PRJ-0008,20,100,301.62,443.81,328.95,306.9,100.0,423.88,Rejected
PRJ-0009,20,100,145.81,278.69,156.62,138.3,63.27,164.33,Rejected
PRJ-0010,20,100,77.8,208.02,94.47,74.58,44.8,84.89,Rejected
PRJ-0011,20,100,185.42,116.86,184.08,192.3,54.85,124.07,Accepted
PRJ-0012,20,100,124.0,180.35,134.15,121.5,61.89,157.3,Rejected
PRJ-0013,20,100,65.36,204.08,96.94,74.76,48.4,97.86,Rejected
PRJ-0014,20,100,134.43,76.37,133.66,140.72,49.43,101.78,Accepted
PRJ-0015,20,100,259.91,228.64,251.64,250.72,64.46,170.62,Accepted
PRJ-0016,20,100,191.24,148.78,187.92,194.85,43.72,81.23,Accepted
PRJ-0017,20,100,175.81,318.78,191.61,172.07,87.17,317.26,Rejected
PRJ-0018,20,100,250.03,210.7,246.85,251.79,72.52,216.66,Accepted
PRJ-0019,20,100,227.74,186.34,217.28,223.16,66.46,181.41,Accepted
PRJ-0020,20,100,183.87,256.08,188.15,174.03,84.11,294.39,Rejected
PRJ-0021,20,100,109.61,211.49,126.79,111.25,59.86,147.21,Rejected
PRJ-0022,20,100,225.77,180.73,208.92,219.79,50.85,107.37,Accepted
PRJ-0023,20,100,316.42,279.18,312.02,316.18,65.9,178.38,Accepted
PRJ-0024,20,100,175.73,301.89,190.25,176.65,70.1,202.13,Rejected
PRJ-0025,20,100,133.79,247.15,146.95,136.57,76.87,244.19,Rejected
PRJ-0026,20,100,147.84,108.51,145.87,148.27,51.79,111.15,Accepted
PRJ-0027,20,100,139.48,254.0,152.03,134.04,66.49,181.62,Rejected
PRJ-0028,20,100,126.6,190.35,137.21,129.46,73.05,219.88,Rejected
PRJ-0029,20,100,126.53,55.67,111.16,125.39,53.25,117.22,Accepted
PRJ-0030,20,100,356.17,281.31,342.66,353.31,85.46,304.37,Accepted
PRJ-0031,20,100,220.93,154.63,199.04,210.5,68.9,195.16,Accepted
PRJ-0032,20,100,256.7,226.24,257.95,260.15,74.26,227.48,Accepted
PRJ-0033,20,100,132.05,247.25,158.24,142.99,69.4,198.03,Rejected
PRJ-0034,20,100,129.56,254.21,139.04,123.84,76.02,238.67,Rejected
PRJ-0035,20,100,217.78,277.15,240.74,228.18,79.45,261.49,Rejected
PRJ-0036,20,100,83.71,22.15,75.89,86.17,44.45,83.7,Accepted
PRJ-0037,20,100,254.56,214.8,264.06,261.84,65.2,174.54,Accepted
PRJ-0038,20,100,199.63,160.77,193.11,198.97,50.55,106.17,Accepted
PRJ-0039,20,100,203.81,125.63,193.18,204.86,61.65,156.06,Accepted
PRJ-0040,20,100,201.41,155.56,195.87,204.43,58.21,139.35,Accepted
PRJ-0041,20,100,98.04,205.04,116.96,101.14,68.21,191.23,Rejected
PRJ-0042,20,100,124.7,248.78,147.06,130.79,68.46,192.67,Rejected
PRJ-0043,20,100,259.47,390.41,269.01,251.68,81.25,273.91,Rejected
PRJ-0044,20,100,190.65,290.8,210.98,194.61,69.57,199.02,Rejected
PRJ-0045,20,100,250.55,176.05,246.38,256.11,73.56,223.09,Accepted
PRJ-0046,20,100,45.83,99.43,49.27,44.32,47.71,95.27,Rejected
PRJ-0047,20,100,117.46,170.51,117.97,115.78,99.72,421.36,Rejected
PRJ-0048,20,100,122.8,82.01,122.52,129.68,51.6,110.38,Accepted
PRJ-0049,20,100,160.27,103.24,147.95,157.77,54.04,120.6,Accepted
PRJ-0050,20,100,253.54,335.83,268.58,255.88,85.45,304.32,Rejected
PRJ-0051,20,100,200.28,169.01,192.32,196.09,55.07,125.07,Accepted
PRJ-0052,20,100,245.84,203.33,236.47,242.9,53.42,117.94,Accepted
PRJ-0053,20,100,238.97,384.45,262.2,237.88,91.48,351.15,Rejected
PRJ-0054,20,100,276.27,233.88,276.66,275.99,70.66,205.44,Accepted
PRJ-0055,20,100,158.75,256.16,179.45,164.21,84.0,293.64,Rejected
PRJ-0056,20,100,110.52,203.9,119.69,105.42,64.71,171.93,Rejected
PRJ-0057,20,100,125.27,212.73,137.74,124.64,89.49,335.22,Rejected
PRJ-0058,20,100,309.46,271.31,310.51,313.82,65.88,178.24,Accepted
PRJ-0059,20,100,136.36,280.38,155.88,136.88,67.99,189.95,Rejected
PRJ-0060,20,100,192.6,135.32,194.68,196.18,36.54,59.63,Accepted
PRJ-0061,20,100,198.2,164.64,190.34,197.07,62.72,161.53,Accepted
PRJ-0062,20,100,163.02,282.7,176.82,160.34,78.27,253.54,Rejected
PRJ-0063,20,100,209.73,287.93,227.88,216.15,78.49,255.01,Rejected
PRJ-0064,20,100,139.29,266.93,145.3,128.74,73.28,221.3,Rejected
PRJ-0065,20,100,169.64,294.73,194.29,173.53,73.21,220.87,Rejected
PRJ-0066,20,100,171.68,100.36,166.61,174.04,58.88,142.51,Accepted
PRJ-0067,20,100,166.8,311.86,188.83,169.28,75.23,233.6,Rejected
PRJ-0068,20,100,282.55,365.41,286.47,274.04,93.68,369.21,Rejected
PRJ-0069,20,100,245.77,304.89,260.44,251.17,82.37,281.87,Rejected
PRJ-0070,20,100,147.59,73.21,140.27,143.39,54.51,122.62,Accepted
PRJ-0071,20,100,125.43,64.52,114.25,124.79,52.62,114.56,Accepted
PRJ-0072,20,100,167.53,133.46,169.47,172.49,58.5,140.7,Accepted
PRJ-0073,20,100,43.45,171.17,59.0,40.89,43.28,79.77,Rejected
PRJ-0074,20,100,206.2,152.77,197.18,204.31,34.44,54.2,Accepted
PRJ-0075,20,100,126.08,272.3,158.9,134.84,69.84,200.62,Rejected
PRJ-0076,20,100,77.32,223.64,100.9,78.79,43.32,79.9,Rejected
PRJ-0077,20,100,173.81,320.74,191.52,173.22,68.36,192.08,Rejected
PRJ-0078,20,100,252.82,365.57,279.49,258.12,99.14,416.15,Rejected
