Proposals Volume(N),Total Eval Txs,Total Nodes,Honest/Malicious Ratio,Spam Attack Pressure(%),AI Spam Blocked(%),Standard DAO Acceptance(%),DAO VC Acceptance(%)
10,200,5,3/1,0.2,0.19,86.3,48.28
10,200,10,8/1,0.1,0.1,88.11,47.15
10,200,20,14/2,0.1,0.1,84.02,45.3
10,200,100,75/15,0.15,0.14,81.53,45.16
20,400,5,3/1,0.4,0.38,83.18,41.88
20,400,10,8/1,0.2,0.19,85.04,41.86
20,400,20,14/2,0.2,0.19,82.6,44.56
20,400,100,69/13,0.26,0.25,83.73,46.78
50,1000,5,3/1,1,0.95,86.65,37.8
50,1000,10,8/1,0.5,0.48,82.09,39.93
50,1000,20,13/3,0.75,0.71,84.64,39.18
50,1000,100,72/12,0.6,0.57,83.88,41.22
100,2000,5,3/1,2,1.9,85.65,31.37
100,2000,10,8/1,1,0.95,86.56,33.35
100,2000,20,15/2,1,0.95,85.16,33.42
100,2000,100,67/14,1.4,1.33,82.49,30.16
250,5000,5,3/1,5,4.75,84.86,20.43
250,5000,10,8/1,2.5,2.38,84.47,21.23
250,5000,20,13/2,2.5,2.38,78.51,20.16
250,5000,100,67/15,3.75,3.56,84.56,15.94
500,10000,5,3/1,10,9.5,87.96,11.21
500,10000,10,8/1,5,4.75,84.33,12.48
500,10000,20,14/2,5,4.75,82.69,13.44
500,10000,100,69/13,6.5,6.17,82.47,9.8
1000,20000,5,3/1,20,19,85.01,9.75
1000,20000,10,8/1,10,9.5,79.31,8.9
1000,20000,20,14/2,10,9.5,83.77,10.36
1000,20000,100,66/15,15,14.25,78.66,10.06
