Node_Profile_ID,Analyzed_Txs_Sequence,Actual_Hidden_Behavior,Standard_Suspicion_Score,AI_Suspicion_Score,AI_Final_Decision,Machine_Learning_Outcome
N-0001,20,Honest,0.2995,0.4021,Honest,True Negative (Safe)
N-0002,20,Honest,0.7266,0.4043,Honest,True Negative (Safe)
N-0003,20,Honest,0.2692,0.7368,Malicious,False Positive (False Alarm)
N-0004,20,Honest,0.0074,0.0435,Honest,True Negative (Safe)
N-0005,20,Honest,0.4924,0.2679,Honest,True Negative (Safe)
N-0006,20,Honest,0.572,0.566,Malicious,False Positive (False Alarm)
N-0007,20,Honest,0.42,0.2727,Honest,True Negative (Safe)
N-0008,20,Honest,0.3014,0.3677,Honest,True Negative (Safe)
N-0009,20,Honest,0.3704,0.1862,Honest,True Negative (Safe)
N-0010,20,Malicious,0.6859,0.9777,Malicious,True Positive (Hit)
N-0011,20,Honest,0.0,0.3222,Honest,True Negative (Safe)
N-0012,20,Malicious,0.4824,0.9585,Malicious,True Positive (Hit)
N-0013,20,Honest,0.3875,0.5102,Malicious,False Positive (False Alarm)
N-0014,20,Honest,0.2809,0.0,Honest,True Negative (Safe)
N-0015,20,Honest,0.7129,0.0813,Honest,True Negative (Safe)
N-0016,20,Honest,0.0549,0.2532,Honest,True Negative (Safe)
N-0017,20,Honest,0.3902,0.4146,Honest,True Negative (Safe)
N-0018,20,Honest,0.6731,0.2691,Honest,True Negative (Safe)
N-0019,20,Honest,0.2288,0.3074,Honest,True Negative (Safe)
N-0020,20,Honest,0.4913,0.3638,Honest,True Negative (Safe)
N-0021,20,Honest,0.2313,0.1699,Honest,True Negative (Safe)
N-0022,20,Malicious,0.6773,1.0,Malicious,True Positive (Hit)
N-0023,20,Honest,0.6915,0.2664,Honest,True Negative (Safe)
N-0024,20,Honest,0.3282,0.3308,Honest,True Negative (Safe)
N-0025,20,Malicious,0.2772,0.5703,Malicious,True Positive (Hit)
N-0026,20,Malicious,0.9274,0.8384,Malicious,True Positive (Hit)
N-0027,20,Malicious,0.4631,0.9324,Malicious,True Positive (Hit)
N-0028,20,Honest,0.7717,0.1611,Honest,True Negative (Safe)
N-0029,20,Honest,0.3431,0.1395,Honest,True Negative (Safe)
N-0030,20,Honest,0.691,0.4447,Honest,True Negative (Safe)
N-0031,20,Honest,0.7965,0.4517,Honest,True Negative (Safe)
N-0032,20,Malicious,0.1419,0.8118,Malicious,True Positive (Hit)
N-0033,20,Honest,0.1854,0.1474,Honest,True Negative (Safe)
N-0034,20,Honest,0.4926,0.4171,Honest,True Negative (Safe)
N-0035,20,Honest,0.2273,0.0,Honest,True Negative (Safe)
N-0036,20,Malicious,0.5951,1.0,Malicious,True Positive (Hit)
N-0037,20,Honest,0.3993,0.2594,Honest,True Negative (Safe)
N-0038,20,Honest,0.8955,0.3681,Honest,True Negative (Safe)
N-0039,20,Honest,0.5042,0.3384,Honest,True Negative (Safe)
N-0040,20,Malicious,0.6126,0.4993,Honest,False Negative (Missed)
N-0041,20,Honest,0.1146,0.6274,Malicious,False Positive (False Alarm)
N-0042,20,Malicious,0.596,0.772,Malicious,True Positive (Hit)
N-0043,20,Honest,0.4274,0.4062,Honest,True Negative (Safe)
N-0044,20,Honest,1.0,0.3548,Honest,True Negative (Safe)
N-0045,20,Honest,0.303,0.2233,Honest,True Negative (Safe)
N-0046,20,Honest,0.7177,0.1334,Honest,True Negative (Safe)
N-0047,20,Honest,0.6631,0.0,Honest,True Negative (Safe)
N-0048,20,Honest,0.3925,0.3756,Honest,True Negative (Safe)
N-0049,20,Honest,0.7675,0.0863,Honest,True Negative (Safe)
N-0050,20,Honest,0.0743,0.1979,Honest,True Negative (Safe)
N-0051,20,Honest,0.1686,0.2202,Honest,True Negative (Safe)
N-0052,20,Honest,0.4483,0.0,Honest,True Negative (Safe)
N-0053,20,Honest,0.6511,0.2186,Honest,True Negative (Safe)
N-0054,20,Honest,0.7201,0.0,Honest,True Negative (Safe)
N-0055,20,Malicious,0.2957,0.8637,Malicious,True Positive (Hit)
N-0056,20,Malicious,0.3502,0.7138,Malicious,True Positive (Hit)
N-0057,20,Honest,0.4502,0.2817,Honest,True Negative (Safe)
N-0058,20,Malicious,0.3806,0.7828,Malicious,True Positive (Hit)
N-0059,20,Malicious,0.3544,0.8983,Malicious,True Positive (Hit)
N-0060,20,Honest,0.4213,0.281,Honest,True Negative (Safe)
N-0061,20,Honest,1.0,0.0286,Honest,True Negative (Safe)
N-0062,20,Malicious,0.8971,0.1649,Honest,False Negative (Missed)
N-0063,20,Honest,0.0,0.0019,Honest,True Negative (Safe)
N-0064,20,Malicious,0.2556,0.7948,Malicious,True Positive (Hit)
N-0065,20,Honest,0.5225,0.199,Honest,True Negative (Safe)
N-0066,20,Honest,0.4125,0.3556,Honest,True Negative (Safe)
N-0067,20,Honest,0.6583,0.0,Honest,True Negative (Safe)
N-0068,20,Honest,0.3595,0.2361,Honest,True Negative (Safe)
N-0069,20,Malicious,0.6713,0.58,Malicious,True Positive (Hit)
N-0070,20,Honest,0.4277,0.256,Honest,True Negative (Safe)
N-0071,20,Malicious,0.3739,0.5898,Malicious,True Positive (Hit)
N-0072,20,Honest,0.4747,0.2239,Honest,True Negative (Safe)
N-0073,20,Honest,0.5751,0.0393,Honest,True Negative (Safe)
N-0074,20,Honest,0.3623,0.2042,Honest,True Negative (Safe)
N-0075,20,Honest,0.6535,0.0619,Honest,True Negative (Safe)
N-0076,20,Honest,0.5087,0.3006,Honest,True Negative (Safe)
N-0077,20,Honest,0.8616,0.0486,Honest,True Negative (Safe)
N-0078,20,Malicious,0.3857,0.5438,Malicious,True Positive (Hit)
N-0079,20,Honest,0.0326,0.6029,Malicious,False Positive (False Alarm)
N-0080,20,Honest,0.1396,0.0867,Honest,True Negative (Safe)
N-0081,20,Honest,0.7789,0.0,Honest,True Negative (Safe)
N-0082,20,Malicious,0.7391,0.4391,Honest,False Negative (Missed)
N-0083,20,Honest,0.7617,0.0,Honest,True Negative (Safe)
N-0084,20,Malicious,0.1116,0.6301,Malicious,True Positive (Hit)
N-0085,20,Honest,0.693,0.2438,Honest,True Negative (Safe)
N-0086,20,Honest,0.3661,0.5192,Malicious,False Positive (False Alarm)
N-0087,20,Honest,0.9888,0.3845,Honest,True Negative (Safe)
