transaction_count,balance_native,total_gas_used,is_bot
23,17.3428,2256154.0,0
103,9.4406,8597455.0,0
32,19.0147,1022539.0,0
34,16.1011,2216565.0,0
26,13.9632,969182.0,0
812,13.6076,32900542.0,0
100,31.494,4597333.0,0
92,36.543,6186236.0,0
25,12.3216,2152616.0,0
34,17.9585,744158.0,0
2,0.0,42000.0,1
66,26.453,4416288.0,0
18,14.1267,740720.0,0
108,20.1812,3619084.0,0
22,9.424,1179142.0,0
74,26.597,5421386.0,0
1,0.0,21000.0,1
12,4.8371,595053.0,0
38,13.9455,2313359.0,0
29,13.1146,2217986.0,0
17,2.7259,653064.0,0
45,9.1336,3968319.0,0
30,24.7775,2347186.0,0
187,87.4213,14181738.0,0
34,18.9102,1793136.0,0
24,10.6884,1497356.0,0
195,67.4556,4544565.0,0
19,16.2248,1421645.0,0
22,11.8424,469295.0,0
7,6.6514,366796.0,0
24,3.857,834366.0,0
22,11.5866,567530.0,0
19,14.3179,810564.0,0
12,5.6057,980841.0,0
19,16.505,1557274.0,0
61,29.2998,3055229.0,0
217,75.9639,7858723.0,0
17,8.4984,1639135.0,0
23,13.7238,576995.0,0
129,49.7701,11688061.0,0
177,19.3475,4023716.0,0
187,67.4726,4128462.0,0
616,307.5765,59002893.0,0
103,15.0543,9094140.0,0
103,35.8752,3166023.0,0
44,24.9308,3187097.0,0
219,102.093,4776676.0,0
35,12.3218,1303716.0,0
47,28.7817,4009928.0,0
98,16.0288,8369756.0,0
166,80.4774,15448831.0,0
2,4.9509,91586.0,0
91,42.3137,8467644.0,0
16700,0.0353,399720259.0,1
19,12.5478,580031.0,0
25,13.9177,1840411.0,0
29,10.1051,1941491.0,0
153,10.1141,6503631.0,0
32,5.9897,984913.0,0
33,17.8179,2872880.0,0
40,21.3913,3317137.0,0
118,64.2132,7973633.0,0
71,44.2014,4467020.0,0
11985,0.0271,286661151.0,1
5892,0.0271,135184469.0,1
28,18.3748,2760993.0,0
98,11.0293,6563128.0,0
88,22.3315,8318111.0,0
20,9.9132,647517.0,0
43,15.4949,2714771.0,0
57,27.9813,2417269.0,0
93,48.1169,5426105.0,0
46,8.2842,3572124.0,0
114,8.5089,3871521.0,0
69,18.1199,5375451.0,0
12,7.1423,1075284.0,0
58,30.5263,2235957.0,0
2,0.0,42000.0,1
16,11.9814,613494.0,0
24,5.8708,2094434.0,0
89,9.9866,8091422.0,0
4,3.779,252411.0,0
15,5.5147,1172793.0,0
403,129.208,11586964.0,0
48,2.5853,1890346.0,0
48,6.606,1667723.0,0
24,7.106,1237111.0,0
54,15.9267,2429406.0,0
102,46.3357,2655658.0,0
9,4.4488,685258.0,0
106,49.6286,7497414.0,0
197,4.7516,15302754.0,0
104,45.4965,10310624.0,0
148,55.7168,4074884.0,0
106,4.4434,5043045.0,0
49,18.8796,4017263.0,0
75,27.2196,7477646.0,0
16,2.2625,1261023.0,0
13,4.0385,1051688.0,0
31,21.2557,918712.0,0
67,13.4134,4125032.0,0
19,12.0226,1312698.0,0
32,18.9907,1845855.0,0
757,150.5958,49663464.0,0
54,14.039,4951070.0,0
56,21.1927,1492498.0,0
25,5.73,818663.0,0
274,58.6208,22472879.0,0
32,7.0339,1393991.0,0
38,14.5187,3349646.0,0
35,11.732,2869859.0,0
79,23.0373,7378382.0,0
4,9.7219,350716.0,0
88,24.486,2514755.0,0
28,9.1289,2771021.0,0
67,10.4291,5869213.0,0
89,44.5263,3314749.0,0
77,14.928,6635274.0,0
4,0.7866,334292.0,0
1,0.0,21000.0,1
42,13.123,973438.0,0
367,56.6789,16782221.0,0
27,8.5913,2511072.0,0
52,34.7785,3471707.0,0
17,11.9274,1273368.0,0
269,56.1461,24221665.0,0
41,17.0545,2583811.0,0
10,9.9173,507918.0,0
28,17.9028,1697743.0,0
15751,0.0328,368826173.0,1
112,35.2778,6788920.0,0
266,75.2505,12776292.0,0
67,27.1971,3616558.0,0
68,32.9729,5582035.0,0
17,4.0613,1195068.0,0
1,0.0,21000.0,1
24,10.537,609262.0,0
99,39.2036,3369365.0,0
73,37.1923,5884463.0,0
50,27.6997,1424842.0,0
141,9.3227,12719454.0,0
6,10.8808,170464.0,0
80,27.2777,6406534.0,0
66,31.2074,2840989.0,0
34,10.9056,1541381.0,0
60,31.8175,3462217.0,0
149,21.5761,5959080.0,0
559,79.8096,52566580.0,0
17,11.8125,1122972.0,0
172,38.7786,5511908.0,0
14,4.9712,652536.0,0
162,38.0829,14573317.0,0
69,16.6383,2946994.0,0
55,12.9676,5443282.0,0
30,6.6009,2663872.0,0
155,50.2824,8872229.0,0
25,5.8532,1779058.0,0
60,29.4658,2433880.0,0
161,27.1857,12479840.0,0
19,8.7227,1898826.0,0
146,11.072,12866493.0,0
84,11.7753,4608781.0,0
85,9.4624,7214967.0,0
21,9.2992,1809867.0,0
16,9.0272,1222641.0,0
69,25.1466,5407979.0,0
52,30.1396,4995980.0,0
145,14.5905,10436114.0,0
348,166.7448,14342580.0,0
77,10.7385,4498884.0,0
46,30.5351,1361060.0,0
34,5.2596,1053813.0,0
58,6.6422,1471316.0,0
3,5.552,252370.0,0
75,13.8266,4832310.0,0
343,110.3544,23365172.0,0
55,26.7187,5076969.0,0
1,0.0,21000.0,1
190,91.707,6737478.0,0
21,17.0038,1955251.0,0
127,21.128,10619883.0,0
39,23.3495,1442698.0,0
109,23.5296,7645596.0,0
8,9.6708,382116.0,0
31,7.4487,1318179.0,0
34,5.0839,2036409.0,0
38,2.2469,3417016.0,0
34,11.856,2992814.0,0
45,15.8778,3613844.0,0
24,9.2783,1676801.0,0
104,42.0243,4493368.0,0
124,27.5789,12341241.0,0
67,36.4805,2045376.0,0
20,14.8722,426155.0,0
23,5.1515,1138768.0,0
37,9.8013,1367414.0,0
28,8.421,2553506.0,0
265,31.4402,18747369.0,0
57,7.5524,3755137.0,0
61,10.5173,3896407.0,0
106,49.0344,10112632.0,0
46,21.7616,2131732.0,0
51,10.3573,4020380.0,0
4,10.4932,224474.0,0
51,7.9838,4539833.0,0
61,28.5043,4804542.0,0
47,13.5076,3663868.0,0
61,21.8243,3589186.0,0
85,34.8761,5165972.0,0
57,15.0559,1561257.0,0
4,8.9463,233535.0,0
144,66.8704,12089761.0,0
16,11.4564,1324991.0,0
56,18.3972,2452915.0,0
1,0.0,21000.0,1
36,3.7987,1214330.0,0
22,15.9798,1449201.0,0
69,10.6975,2705020.0,0
2,0.0,42000.0,1
20,18.6868,1134061.0,0
603,250.9401,23884841.0,0
8,1.1418,592023.0,0
78,10.383,3735760.0,0
12156,0.0198,256028798.0,1
56,17.3548,5043926.0,0
96,37.527,5926726.0,0
142,37.316,11190892.0,0
224,92.2421,5670532.0,0
52,25.4098,3416265.0,0
63,26.88,3351598.0,0
63,30.2867,1863082.0,0
45,15.0471,3760934.0,0
72,18.1347,6996483.0,0
142,30.823,10750832.0,0
80,37.6258,3976817.0,0
48,22.0389,1639940.0,0
17,10.4928,804442.0,0
267,122.4814,12799014.0,0
17,6.6454,714929.0,0
14,8.4861,448782.0,0
72,26.5972,7086997.0,0
153,82.1597,8879996.0,0
35,11.9145,1930630.0,0
25,6.7406,1819751.0,0
30,22.7167,1496452.0,0
1,0.0,21000.0,1
15,3.9546,1273054.0,0
61,27.7499,3602773.0,0
93,14.0645,7817405.0,0
36,14.4211,1573164.0,0
47,9.0329,4466609.0,0
15,9.6805,678791.0,0
41,19.0769,1772662.0,0
177,11.6049,12723202.0,0
41,17.3125,2250762.0,0
34,17.4162,3209695.0,0
295,104.7267,8376390.0,0
